SMILES,Molecular_Weight,Polar_Area,Complexity,XLogP,Heavy_Atom_Count,H-Bond_Donor_Count,H-Bond_Acceptor_Count,Charge,Covalent_Unit_Count,es_natural
CCCN\1C2=CC=CC=C2S/C1=C\C=C\C3=[N+](C4=CC=CC=C4S3)CCC.[I-],520.5,60.7,500,,28,0,4,0,2,True
C[N+]1=C2C=C(C=CC2=CC3=C1C=C(C=C3)N)N.C1=CC(=CC2=NC3=C(C=CC(=C3)N)C=C21)N.[Cl-],469.0,121.0,486,,34,4,6,0,3,True
CCC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)CC)CC)CC)CC)C(=C3CC)CC)CC.[Pt+2],727.8,26.7,1150,,41,0,4,0,2,True
C1=C2C(=C(C(=C1Br)[O-])Br)OC3=C(C(=O)C(=CC3=N2)Br)Br.[NH4+],545.8,62.7,528,,21,1,4,0,2,True
C1=CC=C(C(=C1)C2=C3C=CC(=N)C=C3OC4=C2C=CC(=C4)N)C(=O)O.Cl,366.8,96.4,691,,26,4,5,0,2,True
C[Si]1(N2C3=C4C=CC=CC4=C2N=C5C6=CC=CC=C6C(=N5)N=C7N1C(=NC8=NC(=N3)C9=CC=CC=C98)C1=CC=CC=C17)O,572.6,103.0,1240,,43,1,3,0,1,True
CC(C)(C)C1=CC2=C(C=C1)C3=NC4=NC(=NC5=C6C=C(C=CC6=C([N-]5)N=C7C8=C(C=CC(=C8)C(C)(C)C)C(=N7)N=C2[N-]3)C(C)(C)C)C9=C4C=C(C=C9)C(C)(C)C.[Cu+2],800.5,76.2,1640,,57,0,4,0,2,True
CN1CCN(CC1)C2=CC3=C(C=C2)N=C(N3)C4=CC5=C(C=C4)N=C(N5)C6=CC=C(C=C6)O.Cl,461.0,84.1,634,,33,4,5,0,2,True
C1=CC(=CC2=NC3=C(C=CC(=C3)N)C=C21)N.Cl,245.71,64.9,232,,17,3,3,0,2,True
C[C@@H]1[C@@H](C(=O)N[C@@H](C(=O)N2CCC[C@H]2C(=O)N(CC(=O)N([C@H](C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=CC(=C(C4=C3N=C5C(=C(C(=O)C(=C5O4)C)N)C(=O)N[C@H]6[C@H](OC(=O)[C@@H](N(C(=O)CN(C(=O)[C@@H]7CCCN7C(=O)[C@H](NC6=O)C(C)C)C)C)C(C)C)C)C)N,1270.4,382.0,3070,3.1,91,6,19,0,1,True
CCOC1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)C4=NC5=C(N4)C=C(C=C5)N6CCN(CC6)C,452.6,73.1,664,4.6,34,2,5,0,1,True
C1=CC(=CC=C1C2=CC3=C(N2)C=C(C=C3)C(=N)N)C(=N)N,277.32,116.0,413,1.6,21,5,2,0,1,True
CCC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)CC)CC)CC)CC)C(=C3CC)CC)CC.[Cu+2],596.3,26.7,1150,,41,0,4,0,2,True
CCN(CC)C1=CC2=C(C=C1)C(=C3C=CC(=[N+](CC)CC)C=C3O2)C4=CC=CC=C4C(=O)O.[Cl-],479.0,52.8,811,,34,1,5,0,2,True
CCN(CC)C1=CC2=C(C=C1)C(=C3C=CC(=[N+](CC)CC)C=C3O2)C4=CC=CC=C4C(=O)O,443.6,52.8,811,4.4,33,1,4,1,1,True
C1=CC=C2C(=C1)C=CC(=N2)C3C(=O)C4=CC=CC=C4C3=O,273.3,47.0,422,3.4,21,0,3,0,1,True
C1=CC=C2C(=C1)C(=C3C=CC=CC3=N2)N,194.23,38.9,207,2.8,15,1,2,0,1,True
CN(C)C1=CC2=C(C=C1)C=C3C=CC(=[N+](C)C)C=C3O2.[Cl-],302.8,15.5,480,,21,0,3,0,2,True
COC1=C(C=CC(=C1)C2=CC(=C(C=C2)[N+]3=NC(=NN3C4=CC=C(C=C4)[N+](=O)[O-])C5=CC=CC=C5)OC)[N+]6=NC(=NN6C7=CC=C(C=C7)[N+](=O)[O-])C8=CC=CC=C8,746.7,179.0,1180,12.0,56,0,10,2,1,True
CC1=CC2=CC3=C(C=C(C(=C3)C)N)N=C2C=C1N.Cl,273.76,64.9,278,,19,3,3,0,2,True
C1=CC=C(C(=C1)C2=C3C=CC(=O)C=C3OC4=C2C=CC(=C4)[O-])C(=O)[O-].[Na+].[Na+],376.3,89.5,644,,27,0,5,0,3,True
C1=CC=C2C(=C1)C=C3C(=N2)C=CC=C3N,194.23,38.9,229,2.5,15,1,2,0,1,True
CN1C2=C(C(=O)N(C1=O)C)NC=N2.CN1C2=C(C(=O)N(C1=O)C)NC=N2.C(CN)N,420.43,191.0,273,,30,4,8,0,3,True
C1=CC=C2C(=C1)C(=C3C=CC=CC3=N2)N.Cl,230.69,38.9,207,,16,2,2,0,2,True
CCN1C2=CC=CC=C2SC1=CC=CC=CC3=[N+](C4=CC=CC=C4S3)CC,391.6,60.7,537,7.0,27,0,3,1,1,True
CC[N+]1=C2C=C(C=CC2=C3C=CC(=CC3=C1C4=CC=CC=C4)N)N.[Br-],394.3,55.9,419,,25,2,3,0,2,True
CN(C)C1=CC2=C(C=C1)C=C3C=CC(=CC3=N2)N(C)C.Cl,301.8,19.4,298,,21,1,3,0,2,True
CCCCOC1=C2C(=C(C=C1)OCCCC)C3=NC4=NC(=NC5=C6C(=CC=C(C6=C([N-]5)N=C7C8=C(C=CC(=C8C(=N7)N=C2[N-]3)OCCCC)OCCCC)OCCCC)OCCCC)C9=C(C=CC(=C94)OCCCC)OCCCC.[Cu+2],1152.9,150.0,1830,,81,0,12,0,2,True
CC(C)(C)C1=CC2=C(C(=C1)N(C)C)C3=NC4=NC(=NC5=C6C=C(C=C(C6=C([N-]5)N=C7C8=C(C(=CC(=C8)C(C)(C)C)N(C)C)C(=N7)N=C2[N-]3)N(C)C)C(C)(C)C)C9=C4C=C(C=C9N(C)C)C(C)(C)C.O=[V+2],976.2,106.0,1990,,70,0,9,0,2,True
C1=CC=C(C(=C1)C2=C3C=C(C(=O)C(=C3OC4=C(C(=C(C=C24)[N+](=O)[O-])O)Br)Br)[N+](=O)[O-])C(=O)O,580.1,175.0,1030,4.5,33,2,9,0,1,True
C1=CC=C(C(=C1)C2=C3C=C(C(=O)C(=C3OC4=C(C(=C(C=C24)[N+](=O)[O-])[O-])Br)Br)[N+](=O)[O-])C(=O)[O-].[Na+].[Na+],624.1,181.0,962,,35,0,9,0,3,True
C1=CC=C(C=C1)N=NC2=C(C3=C(C=C(C=C3C=C2S(=O)(=O)[O-])S(=O)(=O)[O-])NC4=NC(=NC(=N4)Cl)Cl)O.[Na+].[Na+],615.3,227.0,968,,38,2,13,0,3,True
CCN(CC)C1=CC2=C(C=C1)C(=C3C=CC(=[N+](CC)CC)C=C3O2)C4=C(C=C(C=C4)C(=O)[O-])C(=O)[O-].[Na+].[Na+].[Cl-],567.0,95.7,925,,39,0,7,0,4,True
COC(=O)C1=CC=CC=C1C2=C3C=CC(=[NH2+])C=C3OC4=C2C=CC(=C4)N.[Cl-],380.8,87.1,670,,27,2,5,0,2,True
CCN(CC)C1=CC2=C(C=C1)N=C3C4=CC=CC=C4C(=O)C=C3O2,318.4,41.9,564,3.8,24,0,4,0,1,True
COC(=O)C1=CC=CC=C1C2=C3C=CC(=N)C=C3OC4=C2C=CC(=C4)N,344.4,85.4,706,2.5,26,2,5,0,1,True
C1=CC=C(C=C1)C2=C3C=C(C(=O)C=C3OC4=CC(=C(C=C42)O)O)O,320.3,87.0,638,2.4,24,3,5,0,1,True
C1CC2=CC3=C(C4=C2N(C1)CCC4)OC(=O)C=C3C(F)(F)F,309.28,29.5,516,3.2,22,0,6,0,1,True
CN(C)C1=CC2=C(C=C1)N=C3C=CC(=O)C=C3S2,256.32,58.0,464,2.1,18,0,4,0,1,True
CC1=CC(=NC(=N1)C)N,123.16,51.8,94,0.4,9,1,3,0,1,True
CCN(CC)C1=CC2=C(C=C1)NC3=C(O2)C(=O)C(=O)C=C3C(=O)[NH3+].[Cl-],363.8,103.0,648,,25,2,7,0,2,True
CC(C)(C)C1=CC2=C(C=C1)C3=NC4=NC(=NC5=C6C=C(C=CC6=C(N5)N=C7C8=C(C=CC(=C8)C(C)(C)C)C(=N7)N=C2N3)C(C)(C)C)C9=C4C=C(C=C9)C(C)(C)C,739.0,109.0,1280,13.0,56,2,6,0,1,True
C1=CC(=CC=C1C2=C3C=CC(=C(C4=NC(=C(C5=CC=C(N5)C(=C6C=CC2=N6)C7=CC=C(C=C7)O)C8=CC=C(C=C8)O)C=C4)C9=CC=C(C=C9)O)N3)O,678.7,138.0,973,9.0,52,6,6,0,1,True
CC1=CC(=O)OC2=C1C=C3CCCN4C3=C2CCC4,255.31,29.5,430,2.7,19,0,3,0,1,True
CC1=C(C(=O)OC2=C1C=CC(=C2)N(C)C)N3C(=O)C=CC3=O,298.29,66.9,587,1.3,22,0,5,0,1,True
CCN(CC)C1=CC2=C(C=C1)C=C(C(=O)O2)C3=NC4=CC=CC=C4N3C,347.4,47.4,559,4.0,26,0,4,0,1,True
C1CC2=C3C(=C4C(=C2)C=C(C(=O)O4)C(=O)O)CCCN3C1,285.29,66.8,514,3.1,21,1,5,0,1,True
CC1=CC(=O)OC2=C1C=CC(=C2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C(=O)O)O)O)O,352.29,143.0,574,-0.5,25,4,9,0,1,True
C[N+]1=C2C=C(C=CC2=CC3=C1C=C(C=C3)N)N.C1=CC(=CC2=NC3=C(C=CC(=C3)N)C=C21)N.Cl.Cl.[Cl-],541.9,121.0,486,,36,6,6,0,5,True
C1=CC=C2C(=C1)NC(=N2)C3=CC=C(C=C3)N4C(=O)C=CC4=O,289.29,66.1,478,2.4,22,1,3,0,1,True
C1=CC2=C(C=C1NC3=NC(=NC(=N3)Cl)Cl)C(=O)OC24C5=C(C=C(C=C5)O)OC6=C4C=CC(=C6)O,495.3,127.0,758,5.3,34,3,9,0,1,True
C1=CN2C=NC3=C(C2=N1)N=CN3[C@H]4[C@@H]([C@@H]([C@H](O4)COP(=O)(O)OP(=O)(O)O)O)O,451.22,211.0,713,-3.4,29,5,13,0,1,True
C1=C2C=C(OC2=CC(=C1OCC(=O)O)N(CC(=O)O)CC(=O)O)C3=NC=C(O3)C(=O)O,434.3,201.0,701,1.2,31,4,13,0,1,True
CC[N+]1=C(SC2=CC=CC=C21)C=CC=CC3=CC=C(C=C3)N(C)C.[O-]Cl(=O)(=O)=O,434.9,110.0,533,,29,0,6,0,2,True
CC1=CC=C(C=C1)S(=O)(=O)NC2=C3C(=CC(=C2)OC)C=CC=N3,328.4,76.7,483,3.0,23,1,5,0,1,True
CCOC(=O)C1=CC2=CC3=C4C(=C2OC1=O)CCCN4CCC3,313.3,55.8,543,3.2,23,0,5,0,1,True
CC1=C(C2=C(C=C1)N=C(S2)C3=CC=C(C=C3)NN=NC4=CC=C(C=C4)C5=NC6=C(S5)C(=C(C=C6)C)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+],695.7,250.0,1190,,45,1,13,0,3,True
CN(C)C1=CC2=C(C=C1)[NH+]=C3C(=CC(=O)C(=C3O2)O)C(=O)O.[Cl-],336.72,101.0,632,,23,3,7,0,2,True
C1=CC(=C(C(=C1)Cl)S(=O)(=O)O)C2=CC(=NC3=C2C=CC4=C3N=C(C=C4C5=C(C(=CC=C5)Cl)S(=O)(=O)O)C(=O)O)C(=O)O,649.4,226.0,1160,4.2,42,4,12,0,1,True
CC1=CC=C(C=C1)S(=O)(=O)NC2=C3C(=CC(=C2)OCC(=O)O)C=CC(=N3)C,386.4,114.0,612,3.0,27,2,7,0,1,True
C1=CC=C(C=C1)C2=CC3=C(C=C(C=C3N2)C(=N)N)C(=N)N,277.32,116.0,415,1.6,21,5,2,0,1,True
C1=CC=C2C(=C1)C3=NC4=C5C=CC=CC5=C6N4[Pb]N7C(=NC2=N3)C8=CC=CC=C8C7=NC9=NC(=N6)C1=CC=CC=C19,720.0,82.3,1150,,41,0,2,0,1,True
C[N+]1=C(SC2=C1C=CC(=C2)OC)N=NC3=CC=C(C=C3)N(C)C,327.4,69.3,411,4.7,23,0,5,1,1,True
CC[N+](=C1C=CC2=NC3=C(C=C(C4=CC=CC=C43)N)OC2=C1)CC,318.4,50.6,625,2.7,24,1,3,1,1,True
COC1=CC2=C(C3=C(C=C(C=C3)Cl)N=C2C=C1)N,258.7,48.1,302,3.4,18,1,3,0,1,True
CC(CCCN(CCCl)CCCl)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC,468.8,37.4,494,6.5,30,1,4,0,1,True
CC(CCCN(CCCl)CCCl)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC.Cl.Cl,541.8,37.4,494,,32,3,4,0,3,True
C1=CC=C2C(=C1)C(=O)C(C2=O)C3=NC4=C(C=C(C=C4C=C3)S(=O)(=O)O)S(=O)(=O)O,433.4,173.0,879,0.9,29,2,9,0,1,True
COCCCN1C(=O)C2=C(C3=C(C(=C2C1=O)N)C(=O)C4=CC=CC=C4C3=O)N,379.4,133.0,656,1.8,28,2,7,0,1,True
CCN(CC)C1=CC2=C(C=C1)C(=C3C=CC(=[N+](CC)CC)C=C3O2)C4=C(C=C(C=C4)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+],580.7,147.0,1150,,39,0,8,0,2,True
CCOC1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)C4=NC5=C(N4)C=C(C=C5)N6CCN(CC6)C.O.O.O.Cl.Cl.Cl,616.0,76.1,664,,40,8,8,0,7,True
CCCCOC1=C2C=CC=CC2=C(C3=C4[N-]C(=C31)N=C5C6=C(C7=CC=CC=C7C(=C6C(=N5)N=C8C9=C(C1=CC=CC=C1C(=C9C(=NC1=NC(=N4)C2=C(C3=CC=CC=C3C(=C21)OCCCC)OCCCC)[N-]8)OCCCC)OCCCC)OCCCC)OCCCC)OCCCC.[Cu+2],1353.1,150.0,2330,,97,0,12,0,2,True
CCCN1C2=CC=CC=C2SC1=CC=CC3=[N+](C4=CC=CC=C4S3)CCC.[I-],520.5,60.7,500,,28,0,4,0,2,True
CC1=CC(=O)OC2=C1C=CC(=C2)NC(=O)C(CCCN=C(N)N)NC(=O)C(CC3=CC=CC=C3)NC(=O)OCC4=CC=CC=C4.Cl,649.1,187.0,1080,,46,6,7,0,2,True
C1=CC=C2C(=C1)C3=NC4=NC(=NC5=C6C=CC=CC6=C([N-]5)N=C7C8=CC=CC=C8C(=N7)N=C2[N-]3)C9=CC=CC=C94.[Ag],620.4,76.2,1080,,41,0,4,-2,2,True
C1=CC=C(C(=C1)C2=C3C=C(C(=O)C=C3OC4=CC(=C(C=C42)O)O)O)O,336.3,107.0,675,2.1,25,4,6,0,1,True
C1=CC2=C(C3=C1C(=O)C=CN3)NC=CC2=O,212.2,58.2,362,1.2,16,2,4,0,1,True
C1=CC(=CC=C1C2=NN=C(O2)C3=CC=C(C=C3)N)N,252.27,91.0,257,1.7,19,2,5,0,1,True
C1=CC=C2C(=C1)C(=C(S2)C3=C4C=CC=CC4=NC3=O)O,279.3,77.9,587,3.2,20,1,3,0,1,True
C[N+]1=C(SC2=CC=CC=C21)/C=C/C3=CC=C(C=C3)N(C)C,295.4,35.4,360,4.9,21,0,2,1,1,True
CCCCCCN\1C2=CC=CC=C2O/C1=C\C=C\C3=[N+](C4=CC=CC=C4O3)CCCCCC.[I-],572.5,29.5,581,,34,0,4,0,2,True
C1=CC=C2C(=C1)C3=NC4=C5C=CC=CC5=C6N4[Al](N7C(=NC2=N3)C8=CC=CC=C8C7=NC9=NC(=N6)C1=CC=CC=C19)Cl,575.0,82.3,1190,,42,0,2,0,1,True
C1=CC=C2C(=C1)C3=NC4=NC(=NC5=C6C=CC=CC6=C([N-]5)N=C7C8=CC=CC=C8C(=N7)N=C2[N-]3)C9=CC=CC=C94.[Co+2],571.5,76.2,1080,,41,0,4,0,2,True
C1=CC=C(C(=C1)N=NC2=C(C3=C(C=C(C=C3C=C2S(=O)(=O)O)S(=O)(=O)O)NC4=NC(=NC(=N4)NC5=CC=C(C=C5)NC6=NC(=NC(=N6)Cl)NC7=C8C(=CC(=C7)S(=O)(=O)O)C=C(C(=C8O)N=NC9=CC=CC=C9S(=O)(=O)O)S(=O)(=O)O)Cl)O)S(=O)(=O)O,1338.1,592.0,2910,6.4,86,12,34,0,1,False
CC1=NN(C(=O)C1N=NC2=C(C=CC(=C2)NC3=NC(=NC(=N3)NC4=CC=C(C=C4)S(=O)(=O)O)Cl)S(=O)(=O)O)C5=CC(=C(C=C5Cl)S(=O)(=O)O)Cl.[Na],830.0,308.0,1640,,51,5,18,0,2,False
CC(=O)NC1=CC2=C(C(=C(C=C2C=C1)S(=O)(=O)O)N=NC3=CC=C(C=C3)S(=O)(=O)CCOS(=O)(=O)O)O.[Na],596.6,251.0,1150,,38,4,13,0,2,False
C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3NC4=CC(=C(C=C4)S(=O)(=O)O)NC5=NC(=NC(=N5)Cl)Cl)S(=O)(=O)O)N,637.4,248.0,1220,4.7,41,5,14,0,1,False
C1=CC(=CC=C1N=NC2=C(C3=C(C(=C(C=C3C=C2S(=O)(=O)[O-])S(=O)(=O)[O-])N=NC4=CC=C(C=C4)S(=O)(=O)CCOS(=O)(=O)[O-])N)O)S(=O)(=O)CCOS(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+],991.8,462.0,2030,,60,2,24,0,5,False
C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3NC4=CC(=CC=C4)S(=O)(=O)CCOS(=O)(=O)[O-])S(=O)(=O)[O-])N.[Na+].[Na+],626.5,255.0,1210,,40,2,13,0,3,False
C1=CC(=C(C=C1S(=O)(=O)O)N=NC2=C(C=C3C(=C2O)C=CC(=C3S(=O)(=O)O)NC4=NC(=NC=N4)NC5=C(C6=CC(=C(C(=C6C=C5)O)N=NC7=C(C=CC(=C7)S(=O)(=O)O)O)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O)O,1116.0,570.0,2510,1.9,72,12,31,0,1,False
CC1(C2=CC=CC=C2[N+](=C1/C=C/C=C/C=C/3\C(C4=CC=CC=C4N3CCCCCC(=O)NCCN5C(=O)C=CC5=O)(C)C)CCCS(=O)(=O)[O-])C,712.9,138.0,1540,5.0,51,1,7,0,1,False
C1=CC=C(C=C1)N=NC2=C(C3=C(C=C(C=C3C=C2S(=O)(=O)[O-])S(=O)(=O)[O-])NC4=NC(=NC(=N4)Cl)Cl)O.[Na+].[Na+],615.3,227.0,968,,38,2,13,0,3,False
C1=CC(=C(C=C1NC2=NC(=NC(=N2)N)Cl)NS(=O)(=O)C3=CC4=C(C=C3)C5=NC4=NC6=C7C=C(C=CC7=C([N-]6)N=C8C9=C(C=C(C=C9)S(=O)(=O)[O-])C(=N8)N=C1C2=C(C=CC(=C2)S(=O)(=O)[O-])C(=N5)[N-]1)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+].[Cu+2],1283.0,470.0,3110,,80,3,24,0,6,False
CC(=O)NC1=CC2=C(C(=C(C=C2C=C1)S(=O)(=O)[O-])N=NC3=CC=C(C=C3)S(=O)(=O)CCOS(=O)(=O)[O-])O.[Na+].[Na+],617.5,257.0,1120,,39,2,13,0,3,False
C1=CC=C(C=C1)C(=O)NC2=C3C(=CC(=C2)S(=O)(=O)[O-])C=C(C(=C3O)N=NC4=C(C=CC(=C4)NC5=NC(=NC(=N5)NC6=CC=C(C=C6)S(=O)(=O)[O-])Cl)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+],995.2,399.0,1900,,63,4,21,0,5,False
C1=CC=C(C(=C1)N=NC2=C(C3=C(C=C(C=C3C=C2S(=O)(=O)O)S(=O)(=O)O)NC4=NC(=NC(=N4)N)N)O)S(=O)(=O)O,612.6,336.0,1240,0.6,40,7,18,0,1,False
CN(CCNC(=O)CI)C1=CC2=C(C=C1)C(=C3C=CC(=[N+](C)CCNC(=O)CI)C=C3O2)C4=CC=CC=C4C(=O)[O-],780.4,114.0,1060,3.6,41,2,6,0,1,False
