SMILES,Molecular_Weight,Polar_Area,Complexity,XLogP,Heavy_Atom_Count,H-Bond_Donor_Count,H-Bond_Acceptor_Count,Charge,Covalent_Unit_Count,es_natural
C1=CC=C(C(=C1)C2=C3C=CC(=O)C=C3OC4=C2C=CC(=C4)O)C(=O)O,332.3,83.8,686,2.4,25,2,5,0,1,True
C1=CC=C2C(=C1)C3=NC4=C5C=CC=CC5=C6N4[Ga](N7C(=NC2=N3)C8=CC=CC=C8C7=NC9=NC(=N6)C1=CC=CC=C19)Cl,617.7,82.3,1190,,42,0,2,0,1,True
C1=CC=C2C(=C1)C3=NC4=NC(=NC5=C6C=CC=CC6=C([N-]5)N=C7C8=CC=CC=C8C(=N7)N=C2[N-]3)C9=CC=CC=C94.Cl[Ti]Cl,631.3,76.2,1110,,43,0,4,-2,2,True
B1(N2C3=C4C=CC=CC4=C2N=C5N1C(=NC6=NC(=N3)C7=CC=CC=C76)C8=CC=CC=C85)Cl,430.7,57.6,903,,32,0,2,0,1,True
CC1=CC2=C(C=C1N)[N+](=C3C=C(C(=CC3=N2)C)N)C4=CC=CC=C4.[Cl-],350.8,68.8,405,,25,2,4,0,2,True
CC1=CC2=NC3=C(C=C(C=C3)N(C)C)N=C2C=C1N.Cl,288.77,55.0,319,,20,2,4,0,2,True
C[N+]1=CC=C(C=C1)/C=C/C2=CC=C(C=C2)N(C)C.[I-],366.24,7.1,256,,19,0,2,0,2,True
CC1=C(N2C(=C(C(=O)N2C1=O)C)CBr)C,271.11,40.6,437,1.4,15,0,3,0,1,True
C1=CC(=CC=C1C2=C3C=CC(=C(C4=NC(=C(C5=CC=C(N5)C(=C6C=CC2=N6)C7=CC=C(C=C7)C(=O)O)C8=CC=C(C=C8)C(=O)O)C=C4)C9=CC=C(C=C9)C(=O)O)N3)C(=O)O,790.8,207.0,1310,8.5,60,6,10,0,1,True
C1CS[As](S1)C2=C(C=CC3=C2OC4=C(C(=O)C=CC4=C3C5=CC=CC=C5C(=O)O)[As]6SCCS6)O,664.5,185.0,988,,35,2,9,0,1,True
CCCCOC1=C2C(=C(C=C1)OCCCC)C3=NC4=NC(=NC5=C6C(=CC=C(C6=C(N5)N=C7C8=C(C=CC(=C8C(=N7)N=C2N3)OCCCC)OCCCC)OCCCC)OCCCC)C9=C(C=CC(=C94)OCCCC)OCCCC,1091.4,183.0,1500,16.1,80,2,14,0,1,True
CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCCNC(=S)NC1=CC(=C(C=C1)C2=C3C=CC(=O)C=C3OC4=C2C=CC(=C4)O)C(=O)O)OC(=O)CCCCCCCCCCCCCCC.CC[NH+](CC)CC,1182.5,256.0,1880,,82,5,14,0,2,True
CCN(CC)C1=CC2=C(C=C1)N=C3C=CC(=[N+](CC)CC)C=C3O2.[Cl-],359.9,27.8,533,,25,0,4,0,2,True
CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1,382.9,42.4,569,5.2,27,0,3,0,1,True
CN1CCN(CC1)C2=CC3=C(C=C2)N=C(N3)C4=CC5=C(C=C4)N=C(N5)C6=CC=C(C=C6)O,424.5,84.1,634,4.0,32,3,5,0,1,True
CC[N+]1=C2C=C(C=CC2=C3C=CC(=CC3=C1C4=CC=CC=C4)N)N,314.4,55.9,419,4.2,24,2,2,1,1,True
C1=CC=C(C(=C1)C2=C3C=C(C(=O)C(=C3OC4=C(C(=C(C=C24)Br)O)Br)Br)Br)C(=O)O,647.9,83.8,848,5.6,29,2,5,0,1,True
C1=CC=NC(=C1)N,94.11,38.9,54,0.5,7,1,2,0,1,True
C[N+](=C1C=CC2=NC3=C(C=C(C=C3)N)SC2=C1)C.[Cl-],291.8,66.7,483,,19,1,4,0,2,True
C1=CC=C2C(=C1)C(=O)C(C2=O)C3=NC4=C(C=C(C=C4C=C3)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+],477.4,178.0,852,,31,0,9,0,3,True
C1=CC=C(C=C1)[N+]2=C3C=C(C=CC3=NC4=C2C=C(C=C4)N)N.[Cl-],322.8,68.8,355,,23,2,4,0,2,True
C1=CC2=C(C=C1O)OC3=CC(=O)C=CC3=N2,213.19,58.9,422,1.1,16,1,4,0,1,True
C1=CC=C(C=C1)C2=C3C=CC(=C(C4=NC(=C(C5=CC=C([N-]5)C(=C6C=CC2=N6)C7=CC=CC=C7)C8=CC=CC=C8)C=C4)C9=CC=CC=C9)[N-]3.[Co+2],671.7,26.7,1250,,49,0,4,0,2,True
C1=CC=C2C(=C1)C3=NC4=C5C=CC=CC5=C6N4[Si](N7C(=NC2=N3)C8=CC=CC=C8C7=NC9=NC(=N6)C1=CC=CC=C19)(O)O,574.6,123.0,1240,,43,2,4,0,1,True
CCN(CCO)C1=CC=C(C=C1)N=NC2=[N+](C3=C(S2)C=C(C=C3)OC)C.COS(=O)(=O)[O-],482.6,164.0,550,,32,1,10,0,2,True
CCN(CC)C1=CC2=[N+](C3=C(C=CC(=C3)N=NC4=CC=C(C=C4)N(C)C)N=C2C=C1)C5=CC=CC=C5.[Cl-],511.1,48.0,694,,37,0,6,0,2,True
CC1=CC(=O)OC2=C1C=CC(=C2)O[C@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)O,338.31,126.0,506,-0.8,24,4,8,0,1,True
CCN(CC)C1=CC2=C(C=C1)C=C(C(=O)O2)C3=NC4=CC=CC=C4S3,350.4,70.7,534,4.9,25,0,5,0,1,True
CCCCOC1=C2C=CC=CC2=C(C3=C4NC(=C31)N=C5C6=C(C7=CC=CC=C7C(=C6C(=N5)N=C8C9=C(C1=CC=CC=C1C(=C9C(=NC1=NC(=N4)C2=C(C3=CC=CC=C3C(=C21)OCCCC)OCCCC)N8)OCCCC)OCCCC)OCCCC)OCCCC)OCCCC,1291.6,183.0,1980,21.1,96,2,14,0,1,True
C1=CC2=C(C=C1S(=O)(=O)[O-])C(=C(N2)C3=NC4=C(C3=O)C=C(C=C4)S(=O)(=O)[O-])O.[Na+].[Na+],466.4,197.0,877,,30,2,9,0,3,True
CCNC1=CC2=C(C=C1C)C(=C3C=C(C(=NCC)C=C3O2)C)C4=CC=CC=C4C(=O)OCC,442.5,59.9,868,5.1,33,1,5,0,1,True
